City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Marzuq,YE,14.4,46.4667,88.29,23,100,7.78,overcast clouds
290,Luorong,CN,24.4058,109.6086,94.68,44,46,1.52,scattered clouds
291,Komsomolskiy,UZ,40.4272,71.7189,77.72,27,5,4.61,clear sky
292,Severo-Yeniseyskiy,RU,60.3725,93.0408,46.65,84,100,6.76,light rain
293,Kota Kinabalu,MY,5.9749,116.0724,91.38,66,20,3.44,few clouds
294,Raudeberg,NO,61.9875,5.1352,48.96,1,100,31.76,overcast clouds
295,Sarkand,KZ,45.41,79.9186,68.5,17,37,7.81,scattered clouds
296,Dunedin,NZ,-45.8742,170.5036,49.8,70,100,6.22,overcast clouds
297,Cockburn Town,TC,21.4612,-71.1419,83.16,78,98,19.17,overcast clouds
298,Costinesti,RO,43.95,28.6333,73.44,65,11,5.01,few clouds
299,Sola,VU,-13.8833,167.55,81.23,74,5,18.99,clear sky
300,Vao,NC,-22.6667,167.4833,71.26,72,28,19.69,scattered clouds
301,Talnakh,RU,69.4865,88.3972,40.21,70,100,6.71,overcast clouds
302,Gao,ML,16.6362,1.637,83.61,58,100,17.74,overcast clouds
303,Tyret Pervaya,RU,53.6703,102.3106,53.92,42,96,8.14,overcast clouds
304,Recodo,PH,6.9519,121.9636,86.11,67,98,5.79,overcast clouds
305,The Pas,CA,53.8251,-101.2541,42.82,87,0,2.3,clear sky
306,Adeje,ES,28.1227,-16.726,74.28,77,20,4.61,few clouds
307,Key West,US,24.5557,-81.7826,87.8,83,0,10.36,clear sky
308,Dayong,CN,25.0209,118.2898,91.33,46,15,7.78,few clouds
309,Borovskoy,KZ,53.8,64.15,65.55,24,29,15.37,scattered clouds
310,Ocampo,MX,21.65,-101.5,54.09,89,100,8.32,overcast clouds
311,Kjollefjord,NO,70.9457,27.3465,46.45,100,100,21.85,light rain
312,Atamanovka,RU,51.93,113.63,46.83,85,100,14.9,light rain
313,Katherine,AU,-14.4667,132.2667,102.52,18,84,5.75,broken clouds
314,Wladyslawowo,PL,54.7909,18.4009,53.15,84,46,15.93,scattered clouds
315,Nizhneivkino,RU,58.194,49.5214,52.59,81,100,10.29,overcast clouds
316,San Matias,BO,-16.3667,-58.4,73.04,48,95,2.68,overcast clouds
317,Luena,AO,-11.7833,19.9167,76.24,25,17,7.31,few clouds
318,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,92,44,5.91,scattered clouds
319,Coahuayana,MX,18.7333,-103.6833,76.15,95,100,3.11,overcast clouds
320,Hamirpur,IN,25.95,80.15,89.33,59,92,7.56,overcast clouds
321,Guerrero Negro,MX,27.9769,-114.0611,68.38,83,0,14.0,clear sky
322,Pimenta Bueno,BR,-11.6725,-61.1936,75.2,52,19,2.95,few clouds
323,Mtwango,TZ,-9.0167,34.8,63.03,59,85,10.22,overcast clouds
324,Honiara,SB,-9.4333,159.95,80.65,83,31,2.3,scattered clouds
325,Ormara,PK,25.2088,64.6357,80.8,76,4,10.18,clear sky
326,Catia La Mar,VE,10.6038,-67.0303,81.5,83,40,0.0,scattered clouds
327,Katsuura,JP,35.1333,140.3,81.39,74,100,10.58,overcast clouds
328,Santa Maria,BR,-29.6842,-53.8069,52.9,94,0,5.75,clear sky
329,Yarim,YE,14.298,44.3779,66.47,34,92,1.66,overcast clouds
330,Thinadhoo,MV,0.5333,72.9333,81.73,67,86,4.36,overcast clouds
331,Severo-Kurilsk,RU,50.6789,156.125,51.22,79,16,14.94,few clouds
332,Banda Aceh,ID,5.5577,95.3222,86.76,64,69,18.3,broken clouds
333,Seoul,KR,37.5683,126.9778,87.19,68,75,5.75,broken clouds
334,Cap-Aux-Meules,CA,47.3821,-61.8597,53.62,71,100,24.16,overcast clouds
335,Clyde River,CA,70.4692,-68.5914,35.83,100,100,16.11,mist
336,Pahrump,US,36.2083,-115.9839,77.25,23,0,5.68,clear sky
337,Ciudad Bolivar,VE,8.1222,-63.5497,75.61,88,98,1.66,overcast clouds
338,Shelburne,CA,44.0787,-80.2041,59.23,99,100,7.23,overcast clouds
339,Ca Mau,VN,9.1769,105.15,88.07,60,84,13.58,broken clouds
340,Verkhoyansk,RU,67.5447,133.385,51.57,36,15,21.34,few clouds
341,Ust-Ishim,RU,57.6935,71.1665,60.85,40,14,10.96,few clouds
